"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"06000","0","10","50","0","2024","A","",1847717,18180229,1675792282160,138251560175,4452197717,1773,92177,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",96287,5.5,177336,1.0,100720204573,6.4,-738260910,-0.5,169455234,4.0,91,5.4,4687,5.4
"06000","1","10","51","0","2024","A","",3398,254253,26833027275,0,0,2030,105537,"",0.36,0.72,0.61,0.00,0.00,0.85,0.85,"",91,2.8,3357,1.3,1483041440,5.9,0,0.0,0,0.0,87,4.5,4499,4.5
"06000","1","101","52","0","2024","A","",1,2,305993,0,0,3363,174853,"",0.04,0.00,0.00,0.00,0.00,1.41,1.41,"",0,0.0,0,0.0,-30329,-9.0,0,0.0,0,0.0,-518,-13.3,-26940,-13.4
"06000","1","1013","53","0","2024","A","",1,2,305993,0,0,3363,174853,"",0.08,0.00,0.00,0.00,0.00,1.40,1.40,"",0,0.0,0,0.0,-30329,-9.0,0,0.0,0,0.0,-518,-13.3,-26940,-13.4
"06000","1","102","52","0","2024","A","",3397,254251,26832721282,0,0,2030,105536,"",0.36,0.73,0.62,0.00,0.00,0.85,0.85,"",91,2.8,3357,1.3,1483071769,5.9,0,0.0,0,0.0,87,4.5,4499,4.5
"06000","1","1021","53","0","2024","A","",1664,64996,4618703345,0,0,1367,71062,"",0.35,0.83,0.67,0.00,0.00,0.81,0.81,"",49,3.0,-310,-0.5,33068889,0.7,0,0.0,0,0.0,17,1.3,844,1.2
"06000","1","1022","53","0","2024","A","",8,52,3622451,0,0,1329,69109,"",0.35,0.07,0.04,0.00,0.00,0.58,0.58,"",0,0.0,6,13.0,811651,28.9,0,0.0,0,0.0,141,11.9,7333,11.9
"06000","1","1023","53","0","2024","A","",39,614,106842771,0,0,3349,174129,"",0.31,0.40,0.38,0.00,0.00,0.95,0.95,"",0,0.0,24,4.1,11111287,11.6,0,0.0,0,0.0,228,7.3,11849,7.3
"06000","1","1024","53","0","2024","A","",115,7463,784991356,0,0,2023,105190,"",0.49,0.87,0.74,0.00,0.00,0.84,0.84,"",16,16.2,128,1.7,1819729,0.2,0,0.0,0,0.0,-30,-1.5,-1577,-1.5
"06000","1","1025","53","0","2024","A","",85,35176,4588670826,0,0,2509,130451,"",0.38,0.66,0.66,0.00,0.00,1.01,1.01,"",0,0.0,388,1.1,286406582,6.7,0,0.0,0,0.0,131,5.5,6781,5.5
"06000","1","1026","53","0","2024","A","",91,3868,231827327,0,0,1153,59939,"",0.42,0.68,0.53,0.00,0.00,0.78,0.78,"",-3,-3.2,10,0.3,7886008,3.5,0,0.0,0,0.0,37,3.3,1894,3.3
"06000","1","1027","53","0","2024","A","",11,375,18069985,0,0,927,48219,"",0.43,0.64,0.36,0.00,0.00,0.56,0.57,"",-2,-15.4,0,0.0,268286,1.5,0,0.0,0,0.0,13,1.4,706,1.5
"06000","1","1028","53","0","2024","A","",1384,141709,16479993221,0,0,2236,116295,"",0.37,0.72,0.60,0.00,0.00,0.84,0.84,"",30,2.2,3112,2.2,1141699337,7.4,0,0.0,0,0.0,108,5.1,5626,5.1
"06000","1","31-33","54","0","2024","A","",1,2,305993,0,0,3363,174853,"",0.08,0.00,0.00,0.00,0.00,1.40,1.40,"",0,0.0,0,0.0,-30329,-9.0,0,0.0,0,0.0,-518,-13.3,-26940,-13.4
"06000","1","339","55","0","2024","A","",1,2,305993,0,0,3363,174853,"",0.39,0.02,0.03,0.00,0.00,1.50,1.50,"",0,0.0,0,0.0,-30329,-9.0,0,0.0,0,0.0,-518,-13.3,-26940,-13.4
"06000","1","3399","56","0","2024","A","",1,2,305993,0,0,3363,174853,"",0.39,0.02,0.03,0.00,0.00,1.50,1.50,"",0,0.0,0,0.0,-30329,-9.0,0,0.0,0,0.0,-518,-13.3,-26940,-13.4
"06000","1","33991","57","0","2024","A","",1,2,305993,0,0,3363,174853,"",0.39,0.02,0.03,0.00,0.00,1.50,1.50,"",0,0.0,0,0.0,-30329,-9.0,0,0.0,0,0.0,-518,-13.3,-26940,-13.4
"06000","1","339910","58","0","2024","A","",1,2,305993,0,0,3363,174853,"",0.39,0.02,0.03,0.00,0.00,1.50,1.50,"",0,0.0,0,0.0,-30329,-9.0,0,0.0,0,0.0,-518,-13.3,-26940,-13.4
"06000","1","44-45","54","0","2024","A","",103,5787,251061019,0,0,834,43386,"",0.94,1.24,1.11,0.00,0.00,0.90,0.90,"",5,5.1,72,1.3,14736544,6.2,0,0.0,0,0.0,39,4.9,2036,4.9
"06000","1","441","55","0","2024","A","",3,14,412473,0,0,577,29998,"",0.52,0.92,0.57,0.00,0.00,0.63,0.63,"",0,0.0,0,0.0,-13798,-3.2,0,0.0,0,0.0,5,0.9,258,0.9
"06000","1","4413","56","0","2024","A","",3,14,412473,0,0,577,29998,"",0.52,0.92,0.57,0.00,0.00,0.63,0.63,"",0,0.0,0,0.0,-13798,-3.2,0,0.0,0,0.0,5,0.9,258,0.9
"06000","1","44133","57","0","2024","A","",3,14,412473,0,0,577,29998,"",0.52,0.92,0.57,0.00,0.00,0.63,0.63,"",0,0.0,0,0.0,-13798,-3.2,0,0.0,0,0.0,5,0.9,258,0.9
"06000","1","441330","58","0","2024","A","",3,14,412473,0,0,577,29998,"",0.52,0.92,0.57,0.00,0.00,0.63,0.63,"",0,0.0,0,0.0,-13798,-3.2,0,0.0,0,0.0,5,0.9,258,0.9
"06000","1","445","55","0","2024","A","",24,1137,62441576,0,0,1056,54930,"",0.77,0.96,0.84,0.00,0.00,0.87,0.87,"",0,0.0,21,1.9,3138700,5.3,0,0.0,0,0.0,34,3.3,1779,3.3
"06000","1","4451","56","0","2024","A","",24,1137,62441576,0,0,1056,54930,"",0.77,0.96,0.84,0.00,0.00,0.87,0.87,"",0,0.0,21,1.9,3138700,5.3,0,0.0,0,0.0,34,3.3,1779,3.3
"06000","1","44511","57","0","2024","A","",23,1137,62441576,0,0,1056,54930,"",0.86,1.02,0.88,0.00,0.00,0.85,0.85,"",0,0.0,21,1.9,3138700,5.3,0,0.0,0,0.0,34,3.3,1779,3.3
"06000","1","445110","58","0","2024","A","",23,1137,62441576,0,0,1056,54930,"",0.86,1.02,0.88,0.00,0.00,0.85,0.85,"",0,0.0,21,1.9,3138700,5.3,0,0.0,0,0.0,34,3.3,1779,3.3
"06000","1","44513","57","0","2024","A","",1,0,0,0,0,0,0,"",0.22,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"06000","1","445132","58","0","2024","A","",1,0,0,0,0,0,0,"",3.27,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"06000","1","449","55","0","2024","A","",5,19,669209,0,0,696,36173,"",0.53,0.10,0.16,0.00,0.00,1.68,1.68,"",0,0.0,0,0.0,21503,3.3,0,0.0,0,0.0,46,7.1,2380,7.0
"06000","1","4491","56","0","2024","A","",5,19,669209,0,0,696,36173,"",0.60,0.81,0.67,0.00,0.00,0.84,0.84,"",0,0.0,0,0.0,21503,3.3,0,0.0,0,0.0,46,7.1,2380,7.0
"06000","1","44912","57","0","2024","A","",5,19,669209,0,0,696,36173,"",0.61,0.91,0.76,0.00,0.00,0.85,0.85,"",0,0.0,0,0.0,21503,3.3,0,0.0,0,0.0,46,7.1,2380,7.0
"06000","1","449129","58","0","2024","A","",5,19,669209,0,0,696,36173,"",0.61,0.91,0.76,0.00,0.00,0.85,0.85,"",0,0.0,0,0.0,21503,3.3,0,0.0,0,0.0,46,7.1,2380,7.0
"06000","1","455","55","0","2024","A","",59,4204,169475919,0,0,775,40315,"",1.33,1.41,1.25,0.00,0.00,0.89,0.89,"",5,9.3,72,1.7,11968018,7.6,0,0.0,0,0.0,42,5.7,2192,5.7
"06000","1","4551","56","0","2024","A","",47,2342,99245447,0,0,815,42384,"",1.44,1.19,1.11,0.00,0.00,0.93,0.93,"",5,11.9,-3,-0.1,7513025,8.2,0,0.0,0,0.0,63,8.4,3271,8.4
"06000","1","45511","57","0","2024","A","",47,2342,99245447,0,0,815,42384,"",1.44,1.19,1.11,0.00,0.00,0.93,0.93,"",5,11.9,-3,-0.1,7513025,8.2,0,0.0,0,0.0,63,8.4,3271,8.4
"06000","1","455110","58","0","2024","A","",47,2342,99245447,0,0,815,42384,"",1.44,1.19,1.11,0.00,0.00,0.93,0.93,"",5,11.9,-3,-0.1,7513025,8.2,0,0.0,0,0.0,63,8.4,3271,8.4
"06000","1","4552","56","0","2024","A","",12,1862,70230472,0,0,725,37714,"",1.03,1.82,1.52,0.00,0.00,0.84,0.84,"",0,0.0,76,4.3,4454993,6.8,0,0.0,0,0.0,17,2.4,891,2.4
"06000","1","45521","57","0","2024","A","",12,1862,70230472,0,0,725,37714,"",1.03,1.82,1.52,0.00,0.00,0.84,0.84,"",0,0.0,76,4.3,4454993,6.8,0,0.0,0,0.0,17,2.4,891,2.4
"06000","1","455211","58","0","2024","A","",10,1619,58064134,0,0,690,35861,"",2.26,2.69,1.65,0.00,0.00,0.61,0.61,"",0,0.0,81,5.3,3864434,7.1,0,0.0,0,0.0,12,1.8,621,1.8
"06000","1","455219","58","0","2024","A","",2,243,12166338,0,0,963,50067,"",0.28,0.58,1.11,0.00,0.00,1.92,1.92,"",0,0.0,-5,-2.0,590559,5.1,0,0.0,0,0.0,66,7.4,3437,7.4
"06000","1","457","55","0","2024","A","",8,396,17371394,0,0,844,43886,"",1.03,2.56,2.23,0.00,0.00,0.87,0.87,"",0,0.0,-20,-4.8,-429591,-2.4,0,0.0,0,0.0,21,2.6,1087,2.5
"06000","1","4571","56","0","2024","A","",8,396,17371394,0,0,844,43886,"",1.03,2.56,2.23,0.00,0.00,0.87,0.87,"",0,0.0,-20,-4.8,-429591,-2.4,0,0.0,0,0.0,21,2.6,1087,2.5
"06000","1","45711","57","0","2024","A","",8,396,17371394,0,0,844,43886,"",1.09,2.62,2.27,0.00,0.00,0.87,0.87,"",0,0.0,-20,-4.8,-429591,-2.4,0,0.0,0,0.0,21,2.6,1087,2.5
"06000","1","457110","58","0","2024","A","",8,396,17371394,0,0,844,43886,"",1.09,2.62,2.27,0.00,0.00,0.87,0.87,"",0,0.0,-20,-4.8,-429591,-2.4,0,0.0,0,0.0,21,2.6,1087,2.5
"06000","1","459","55","0","2024","A","",4,18,690448,0,0,734,38181,"",0.40,0.13,0.23,0.00,0.00,1.79,1.79,"",0,0.0,0,0.0,51712,8.1,0,0.0,0,0.0,67,10.0,3499,10.1
"06000","1","4591","56","0","2024","A","",2,3,115632,0,0,741,38544,"",0.28,0.14,0.15,0.00,0.00,1.07,1.07,"",0,0.0,0,0.0,6506,6.0,0,0.0,0,0.0,41,5.9,2169,6.0
"06000","1","45911","57","0","2024","A","",2,3,115632,0,0,741,38544,"",0.29,0.14,0.15,0.00,0.00,1.08,1.08,"",0,0.0,0,0.0,6506,6.0,0,0.0,0,0.0,41,5.9,2169,6.0
"06000","1","459110","58","0","2024","A","",2,3,115632,0,0,741,38544,"",0.29,0.14,0.15,0.00,0.00,1.08,1.08,"",0,0.0,0,0.0,6506,6.0,0,0.0,0,0.0,41,5.9,2169,6.0
"06000","1","4599","56","0","2024","A","",2,15,574816,0,0,733,38109,"",0.82,0.13,0.27,0.00,0.00,2.06,2.06,"",0,0.0,0,0.0,45206,8.5,0,0.0,0,0.0,72,10.9,3756,10.9
"06000","1","45999","57","0","2024","A","",2,15,574816,0,0,733,38109,"",0.87,0.13,0.27,0.00,0.00,2.07,2.07,"",0,0.0,0,0.0,45206,8.5,0,0.0,0,0.0,72,10.9,3756,10.9
"06000","1","459999","58","0","2024","A","",2,15,574816,0,0,733,38109,"",0.87,0.13,0.27,0.00,0.00,2.07,2.07,"",0,0.0,0,0.0,45206,8.5,0,0.0,0,0.0,72,10.9,3756,10.9
"06000","1","48-49","54","0","2024","A","",1561,59209,4367642326,0,0,1419,73766,"",0.34,0.81,0.68,0.00,0.00,0.83,0.83,"",44,2.9,-382,-0.6,18332345,0.4,0,0.0,0,0.0,15,1.1,780,1.1
"06000","1","491","55","0","2024","A","",1561,59209,4367642326,0,0,1419,73766,"",0.34,0.83,0.71,0.00,0.00,0.85,0.85,"",44,2.9,-382,-0.6,18332345,0.4,0,0.0,0,0.0,15,1.1,780,1.1
"06000","1","4911","56","0","2024","A","",1561,59209,4367642326,0,0,1419,73766,"",0.34,0.83,0.71,0.00,0.00,0.85,0.85,"",44,2.9,-382,-0.6,18332345,0.4,0,0.0,0,0.0,15,1.1,780,1.1
"06000","1","49111","57","0","2024","A","",1561,59209,4367642326,0,0,1419,73766,"",0.34,0.83,0.71,0.00,0.00,0.85,0.85,"",44,2.9,-382,-0.6,18332345,0.4,0,0.0,0,0.0,15,1.1,780,1.1
"06000","1","491110","58","0","2024","A","",1561,59209,4367642326,0,0,1419,73766,"",0.34,0.83,0.71,0.00,0.00,0.85,0.85,"",44,2.9,-382,-0.6,18332345,0.4,0,0.0,0,0.0,15,1.1,780,1.1
"06000","1","51","54","0","2024","A","",8,52,3622451,0,0,1329,69109,"",0.35,0.07,0.04,0.00,0.00,0.58,0.58,"",0,0.0,6,13.0,811651,28.9,0,0.0,0,0.0,141,11.9,7333,11.9
"06000","1","513","55","0","2024","A","",1,6,757576,0,0,2395,124533,"",0.94,0.43,0.43,0.00,0.00,1.00,1.00,"",0,0.0,0,0.0,-46557,-5.8,0,0.0,0,0.0,-113,-4.5,-5867,-4.5
