"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"06079","0","10","70","0","2024","A","",11645,121958,7478782972,872867139,25087275,1179,61323,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",415,3.7,1506,1.3,287121593,4.0,-7412887,-0.8,1134164,4.7,31,2.7,1617,2.7
"06079","1","10","71","0","2024","A","",36,603,50407506,0,0,1609,83664,"",0.61,0.26,0.26,0.00,0.00,1.01,1.01,"",-1,-2.7,14,2.4,3063846,6.5,0,0.0,0,0.0,64,4.1,3341,4.2
"06079","1","102","72","0","2024","A","",36,603,50407506,0,0,1609,83664,"",0.61,0.26,0.26,0.00,0.00,1.01,1.01,"",-1,-2.7,14,2.4,3063846,6.5,0,0.0,0,0.0,64,4.1,3341,4.2
"06079","1","1021","73","0","2024","A","",20,365,27506928,0,0,1448,75293,"",0.67,0.69,0.90,0.00,0.00,1.29,1.29,"",0,0.0,10,2.8,609485,2.3,0,0.0,0,0.0,-7,-0.5,-386,-0.5
"06079","1","1025","73","0","2024","A","",1,34,4759890,0,0,2666,138638,"",0.71,0.09,0.15,0.00,0.00,1.61,1.61,"",0,0.0,5,17.2,1085057,29.5,0,0.0,0,0.0,250,10.3,13003,10.3
"06079","1","1026","73","0","2024","A","",1,16,598413,0,0,719,37401,"",0.73,0.42,0.30,0.00,0.00,0.73,0.73,"",-1,-50.0,-11,-40.7,-351211,-37.0,0,0.0,0,0.0,36,5.3,1901,5.4
"06079","1","1028","73","0","2024","A","",14,187,17542275,0,0,1806,93893,"",0.59,0.14,0.14,0.00,0.00,1.02,1.02,"",0,0.0,9,5.1,1720515,10.9,0,0.0,0,0.0,97,5.7,5007,5.6
"06079","1","48-49","74","0","2024","A","",20,365,27506928,0,0,1448,75293,"",0.70,0.75,0.96,0.00,0.00,1.28,1.28,"",0,0.0,10,2.8,609485,2.3,0,0.0,0,0.0,-7,-0.5,-386,-0.5
"06079","1","491","75","0","2024","A","",20,365,27506928,0,0,1448,75293,"",0.70,0.77,1.00,0.00,0.00,1.31,1.31,"",0,0.0,10,2.8,609485,2.3,0,0.0,0,0.0,-7,-0.5,-386,-0.5
"06079","1","4911","76","0","2024","A","",20,365,27506928,0,0,1448,75293,"",0.70,0.77,1.00,0.00,0.00,1.31,1.31,"",0,0.0,10,2.8,609485,2.3,0,0.0,0,0.0,-7,-0.5,-386,-0.5
