"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"US000","0","10","10","0","2024","A","",12100994,154870300,11708890534015,2118214531314,35067517150,1454,75604,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",234688,2.0,1729401,1.1,627622918545,5.7,58164505776,2.8,1133427844,3.3,62,4.5,3244,4.5
"US000","1","10","11","0","2024","A","",61248,3000886,306042879311,0,0,1961,101984,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-62,-0.1,70948,2.4,19278135073,6.7,0,0.0,0,0.0,79,4.2,4110,4.2
"US000","1","101","12","0","2024","A","",163,53446,5452825908,0,0,1962,102025,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",13,8.7,1289,2.5,338311827,6.6,0,0.0,0,0.0,76,4.0,3965,4.0
"US000","1","1011","13","0","2024","A","",75,3976,379415904,0,0,1835,95417,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",0,0.0,225,6.0,46956683,14.1,0,0.0,0,0.0,131,7.7,6791,7.7
"US000","1","1012","13","0","2024","A","",4,27,4334722,0,0,3107,161542,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",3,300.0,22,440.0,3562051,461.0,0,0.0,0,0.0,-77,-2.4,-4030,-2.4
"US000","1","1013","13","0","2024","A","",83,49443,5069075282,0,0,1972,102524,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",9,12.2,1042,2.2,287793093,6.0,0,0.0,0,0.0,72,3.8,3739,3.8
"US000","1","102","12","0","2024","A","",61085,2947440,300590053403,0,0,1961,101983,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-76,-0.1,69659,2.4,18939823246,6.7,0,0.0,0,0.0,79,4.2,4112,4.2
"US000","1","1021","13","0","2024","A","",30799,669464,48093760625,0,0,1382,71839,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",209,0.7,-1096,-0.2,634344846,1.3,0,0.0,0,0.0,21,1.5,1063,1.5
"US000","1","1022","13","0","2024","A","",150,6674,657584463,0,0,1895,98527,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",1,0.7,99,1.5,40466974,6.6,0,0.0,0,0.0,90,5.0,4669,5.0
"US000","1","1023","13","0","2024","A","",829,13168,1985237605,0,0,2899,150761,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",9,1.1,481,3.8,187248526,10.4,0,0.0,0,0.0,174,6.4,9038,6.4
"US000","1","1024","13","0","2024","A","",1529,72692,7454324672,0,0,1972,102547,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",82,5.7,2007,2.8,224388530,3.1,0,0.0,0,0.0,5,0.3,263,0.3
"US000","1","1025","13","0","2024","A","",1465,456512,48534115583,0,0,2045,106315,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",39,2.7,13834,3.1,3685401387,8.2,0,0.0,0,0.0,97,5.0,5003,4.9
"US000","1","1026","13","0","2024","A","",1430,48740,3072069006,0,0,1212,63030,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-12,-0.8,1275,2.7,215199507,7.5,0,0.0,0,0.0,55,4.8,2841,4.7
"US000","1","1027","13","0","2024","A","",166,5002,350129481,0,0,1346,69992,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",1,0.6,93,1.9,27381649,8.5,0,0.0,0,0.0,82,6.5,4251,6.5
"US000","1","1028","13","0","2024","A","",24716,1675185,190442452040,0,0,2186,113684,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-403,-1.6,52964,3.3,13925195778,7.9,0,0.0,0,0.0,93,4.4,4872,4.5
"US000","1","1029","13","0","2024","A","",3,3,379928,0,0,2435,126643,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-2,-40.0,1,50.0,196049,106.6,0,0.0,0,0.0,78,3.3,4057,3.3
"US000","1","11","14","0","2024","A","",75,3976,379415904,0,0,1835,95417,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",0,0.0,225,6.0,46956683,14.1,0,0.0,0,0.0,131,7.7,6791,7.7
"US000","1","111","15","0","2024","A","",2,3,553052,0,0,3359,174648,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",0,0.0,-2,-40.0,-55902,-9.2,0,0.0,0,0.0,757,29.1,39325,29.1
"US000","1","1111","16","0","2024","A","",2,3,553052,0,0,3359,174648,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",0,0.0,-2,-40.0,-55902,-9.2,0,0.0,0,0.0,757,29.1,39325,29.1
